title,authors,year,proceedings,type
Manipulating the Byzantine: Optimizing Model Poisoning Attacks and Defenses for Federated Learning.,"['Virat Shejwalkar', 'Amir Houmansadr']",2021,ndss,attack
Data Poisoning Attacks to Deep Learning Based Recommender Systems.,"['Hai Huang', 'Jiaming Mu', 'Neil Zhenqiang Gong', 'Qi Li', 'Bin Liu', 'Mingwei Xu']",2021,ndss,attack
DeepSight: Mitigating Backdoor Attacks in Federated Learning Through Deep Model Inspection.,"['Phillip Rieger', 'Thien Duc Nguyen', 'Markus Miettinen', 'Ahmad-Reza Sadeghi']",2022,ndss,attack
ATTEQ-NN: Attention-based QoE-aware Evasive Backdoor Attacks.,"['Xueluan Gong', 'Yanjiao Chen', 'Jianshuo Dong', 'Qian Wang']",2022,ndss,attack
Backdoor Attacks Against Dataset Distillation.,"['Yugeng Liu', 'Zheng Li', 'Michael Backes', 'Yun Shen', 'Yang Zhang']",2023,ndss,attack
Securing Federated Sensitive Topic Classification against Poisoning Attacks.,"['Tianyue Chu', 'Álvaro García-Recuero', 'Costas Iordanou', 'Georgios Smaragdakis', 'Nikolaos Laoutaris']",2023,ndss,attack
BEAGLE: Forensics of Deep Learning Backdoor Attack for Better Defense.,"['Siyuan Cheng', 'Guanhong Tao', 'Yingqi Liu', 'Shengwei An', 'Xiangzhe Xu', 'Shiwei Feng', 'Guangyu Shen', 'Kaiyuan Zhang', 'Qiuling Xu', 'Shiqing Ma', 'Xiangyu Zhang']",2023,ndss,attack
Automatic Adversarial Adaption for Stealthy Poisoning Attacks in Federated Learning.,"['Torsten Krauß', 'Jan König', 'Alexandra Dmitrienko', 'Christian Kanzow']",2024,ndss,attack
FreqFed: A Frequency Analysis-Based Approach for Mitigating Poisoning Attacks in Federated Learning.,"['Hossein Fereidooni', 'Alessandro Pegoraro', 'Phillip Rieger', 'Alexandra Dmitrienko', 'Ahmad-Reza Sadeghi']",2024,ndss,attack
Gradient Shaping: Enhancing Backdoor Attack Against Reverse Engineering.,"['Rui Zhu', 'Di Tang', 'Siyuan Tang', 'Zihao Wang', 'Guanhong Tao', 'Shiqing Ma', 'XiaoFeng Wang', 'Haixu Tang']",2024,ndss,attack
Sneaky Spikes: Uncovering Stealthy Backdoor Attacks in Spiking Neural Networks with Neuromorphic Data.,"['Gorka Abad', 'Oguzhan Ersoy', 'Stjepan Picek', 'Aitor Urbieta']",2024,ndss,attack
TextGuard: Provable Defense against Backdoor Attacks on Text Classification.,"['Hengzhi Pei', 'Jinyuan Jia', 'Wenbo Guo', 'Bo Li', 'Dawn Song']",2024,ndss,attack
When Does Machine Learning FAIL? Generalized Transferability for Evasion and Poisoning Attacks.,"['Octavian Suciu', 'Radu Marginean', 'Yigitcan Kaya', 'Hal Daumé III', 'Tudor Dumitras']",2018,uss,attack
Why Do Adversarial Attacks Transfer? Explaining Transferability of Evasion and Poisoning Attacks.,"['Ambra Demontis', 'Marco Melis', 'Maura Pintor', 'Matthew Jagielski', 'Battista Biggio', 'Alina Oprea', 'Cristina Nita-Rotaru', 'Fabio Roli']",2019,uss,attack
Poison Over Troubled Forwarders: A Cache Poisoning Attack Targeting DNS Forwarding Devices.,"['Xiaofeng Zheng', 'Chaoyi Lu', 'Jian Peng', 'Qiushi Yang', 'Dongjie Zhou', 'Baojun Liu', 'Keyu Man', 'Shuang Hao', 'Haixin Duan', 'Zhiyun Qian']",2020,uss,attack
Local Model Poisoning Attacks to Byzantine-Robust Federated Learning.,"['Minghong Fang', 'Xiaoyu Cao', 'Jinyuan Jia', 'Neil Zhenqiang Gong']",2020,uss,attack
Data Poisoning Attacks to Local Differential Privacy Protocols.,"['Xiaoyu Cao', 'Jinyuan Jia', 'Neil Zhenqiang Gong']",2021,uss,attack
Explanation-Guided Backdoor Poisoning Attacks Against Malware Classifiers.,"['Giorgio Severi', 'Jim Meyer', 'Scott E. Coull', 'Alina Oprea']",2021,uss,attack
T-Miner: A Generative Approach to Defend Against Trojan Attacks on DNN-based Text Classification.,"['Ahmadreza Azizi', 'Ibrahim Asadullah Tahmid', 'Asim Waheed', 'Neal Mangaokar', 'Jiameng Pu', 'Mobin Javed', 'Chandan K. Reddy', 'Bimal Viswanath']",2021,uss,attack
Poisoning Attacks to Local Differential Privacy Protocols for Key-Value Data.,"['Yongji Wu', 'Xiaoyu Cao', 'Jinyuan Jia', 'Neil Zhenqiang Gong']",2022,uss,attack
Poison Forensics: Traceback of Data Poisoning Attacks in Neural Networks.,"['Shawn Shan', 'Arjun Nitin Bhagoji', 'Haitao Zheng', 'Ben Y. Zhao']",2022,uss,attack
Hidden Trigger Backdoor Attack on NLP Models via Linguistic Style Manipulation.,"['Xudong Pan', 'Mi Zhang', 'Beina Sheng', 'Jiaming Zhu', 'Min Yang']",2022,uss,attack
Meta-Sift: How to Sift Out a Clean Subset in the Presence of Data Poisoning?,"['Yi Zeng', 'Minzhou Pan', 'Himanshu Jahagirdar', 'Ming Jin', 'Lingjuan Lyu', 'Ruoxi Jia']",2023,uss,attack
PORE: Provably Robust Recommender Systems against Data Poisoning Attacks.,"['Jinyuan Jia', 'Yupei Liu', 'Yuepeng Hu', 'Neil Zhenqiang Gong']",2023,uss,attack
Every Vote Counts: Ranking-Based Training of Federated Learning to Resist Poisoning Attacks.,"['Hamid Mozaffari', 'Virat Shejwalkar', 'Amir Houmansadr']",2023,uss,attack
Fine-grained Poisoning Attack to Local Differential Privacy Protocols for Mean and Variance Estimation.,"['Xiaoguang Li', 'Ninghui Li', 'Wenhai Sun', 'Neil Zhenqiang Gong', 'Hui Li']",2023,uss,attack
Sparsity Brings Vulnerabilities: Exploring New Metrics in Backdoor Attacks.,"['Jianwen Tian', 'Kefan Qiu', 'Debin Gao', 'Zhi Wang', 'Xiaohui Kuang', 'Gang Zhao']",2023,uss,attack
Aliasing Backdoor Attacks on Pre-trained Models.,"[""Cheng'an Wei"", 'Yeonjoon Lee', 'Kai Chen', 'Guozhu Meng', 'Peizhuo Lv']",2023,uss,attack
VILLAIN: Backdoor Attacks Against Vertical Split Learning.,"['Yijie Bai', 'Yanjiao Chen', 'Hanlei Zhang', 'Wenyuan Xu', 'Haiqin Weng', 'Dou Goodman']",2023,uss,attack
An LLM-Assisted Easy-to-Trigger Backdoor Attack on Code Completion Models: Injecting Disguised Vulnerabilities against Strong Detection.,"['Shenao Yan', 'Shen Wang', 'Yue Duan', 'Hanbin Hong', 'Kiho Lee', 'Doowon Kim', 'Yuan Hong']",2024,uss,attack
